the_geom,sysid,sum_min,num_trip,lat,lng,sysname,year,assigned_month,pct_ttl_num_trips,bin_num_trip,mar_ind,sysorder,may_ind,dateStr,dateTxt,display,sysname_alt,yroverchange,yroverchange_bin,trip_type
POINT (-118.2436849 34.0522342),73,0,0,34.0522342,-118.2436849,"Metro Bike Share (Los Angeles, CA)",2022,5,,,1,9,1,05/01/22 through 05/28/22,2022 period corresponding to 2020 and 2019 beginning to end of month,0,"Los Angeles, CA (Metro Bike Share)",,,9999
POINT (-97.7492916839957 30.2703327863944),53,0,0,30.2703327863944,-97.7492916839957,"MetroBike Austin (Austin, TX)",2020,4,,,0,12,1,03/29/20 through 05/02/20,2020 period corresponding to 2020 and 2019 beginning to end of month,0,"Austin, TX (MetroBike Austin)",,,9999
POINT (-122.6764816 45.5230622),74,98427.45000000007,7106,45.5230622,-122.6764816,"BikeTown (Portland, OR)",2019,11,0.887362637362637,4,1,13,1,01/02/19 through 02/02/19,2019 period corresponding to 2020 and 2019 beginning to end of month,0,"Portland, OR (BikeTown)",,,2
POINT (-118.2436849 34.0522342),73,0,0,34.0522342,-118.2436849,"Metro Bike Share (Los Angeles, CA)",2022,8,,,1,9,1,07/31/22 through 08/27/22,2022 period corresponding to 2020 and 2019 beginning to end of month,0,"Los Angeles, CA (Metro Bike Share)",,,2
POINT (-87.6297982 41.8781136),60,1964268.71666665,154504,41.8781136,-87.6297982,"Divvy (Chicago, IL)",2019,3,0.066830342698855,3,1,4,1,03/03/19 through 03/30/19,2019 period corresponding to 2020 and 2019 beginning to end of month,0,"Chicago, IL (Divvy)",,,1
POINT (-87.6297982 41.8781136),60,0,0,41.8781136,-87.6297982,"Divvy (Chicago, IL)",2020,6,,,1,4,1,05/31/20 through 06/27/20,2020 period corresponding to 2020 and 2019 beginning to end of month,0,"Chicago, IL (Divvy)",,,2
POINT (-122.410143 37.773833),42,456783.7666666667,23676,37.773833,-122.410143,"Bay Wheels (San Francisco, CA)",2020,32,,,1,2,1,03/01/20 through 03/28/20,2020 period corresponding to 2020 and 2019 beginning to end of month,1,"San Francisco, CA (Bay Wheels)",,,1
POINT (-77.0368707 38.9071923),56,238723.28333333327,14609,38.9071923,-77.0368707,"Capital Bikeshare (Washington, DC)",2022,6,0.074425973946579,3,0,3,1,05/29/22 through 06/25/22,2022 period corresponding to 2020 and 2019 beginning to end of month,0,"Washington, DC Metro (Capital Bikeshare)",-0.209555242939076,-1,2
POINT (-87.6297982 41.8781136),60,0,0,41.8781136,-87.6297982,"Divvy (Chicago, IL)",2019,6,,,1,4,1,06/02/19 through 06/29/19,2019 period corresponding to 2020 and 2019 beginning to end of month,0,"Chicago, IL (Divvy)",,,9999
POINT (-72.673371 40.909849),3,0,0,40.909849,-72.673371,"CitiBike (New York, NY)",2021,2,,,1,1,1,01/31/21 through 02/27/21,2021 period corresponding to 2020 and 2019 beginning to end of month,0,"New York, NY (CitiBike)",,,2
POINT (-74.039894 40.724851),9999,0,0,40.724851,-74.039894,"CitiBike (Jersey City, NJ)",2022,11,,,1,6,1,12/29/21 through 01/29/22,2022 period corresponding to 2020 and 2019 beginning to end of month,0,"Jersey City, NJ (CitiBike)",,,9999
POINT (-122.6764816 45.5230622),74,95330.99999999996,5806,45.5230622,-122.6764816,"BikeTown (Portland, OR)",2019,9,0.259962389182412,4,1,14,1,09/01/19 through 10/05/19,2019 period corresponding to 2020 and 2019 beginning to end of month,0,"Portland, OR (BikeTown)",,,9999
POINT (-93.2650108 44.977753),25,0,0,44.977753,-93.2650108,"Nice Ride Minnesota (Minneapolis, MN)",2021,11,,,1,14,1,12/30/20 through 01/30/21,2021 period corresponding to 2020 and 2019 beginning to end of month,0,"Minneapolis, MN (Nice Ride Minnesota)",,,1
